reviewid,artist, popularity
22242,morgan delt,34.0
22239,steve lehman,15.0
22239,slbyone,15.0
22174,stevie wonder,76.0
22267,ka,92.0
22270,atticus ross,41.0
22270,leopold ross,38.0
22270,bobby krlic,33.0
22230,jefre cantu-ledesma,34.0
22169,rattle,50.0
22246,dj earl,17.0
22272,sonic youth,58.0
22227,various artists,7.0
22228,the grifters,12.0
22245,gonjasufi,29.0
22210,atmosphere,56.0
22264,fury,21.0
22263,hockey dad,52.0
22265,kyle dixon,53.0
22265,michael stein,53.0
22261,kool a.d.,27.0
22234,lexxi,35.0
22226,alex cameron,40.0
22262,various artists,7.0
22193,partynextdoor,88.0
22244,pill,42.0
22217,mal devisa,18.0
22232,lando chill,24.0
22020,rae sremmurd,72.0
22215,slow club,30.0
22225,roosevelt,57.0
22220,various artists,7.0
22131,pj harvey,59.0
22221,2 chainz,77.0
22247,the chills,37.0
22198,ryley walker,32.0
22214,the 7th plain,12.0
22185,thee oh sees,49.0
22207,toro y moi,61.0
22189,factory floor,21.0
22240,themind,41.0
22150,of montreal,52.0
22197,dj snake,78.0
22213,elvis presley,78.0
22208,roman flgel,36.0
22202,various artists,7.0
22219,m. geddes gengras,10.0
22206,jon bap,61.0
22151,katie dey,24.0
22137,various artists,7.0
22200,various artists,7.0
22216,zhu,63.0
22209,tobacco,41.0
22170,kllo,41.0
22139,wild beasts,36.0
22218,noname,52.0
22182,michal turtle,9.0
22203,cluster ensemble,12.0
22044,michael jackson,84.0
22186,sunny day real estate,49.0
22204,cam & china,22.0
22188,nels cline,35.0
22205,panopticon,30.0
22191,dj khaled,75.0
22199,trim,94.0
22195,delia derbyshire,23.0
22195,elsa stansfield,0.0
22148,rival consoles,47.0
22196,descendents,56.0
22201,lil uzi vert,85.0
22187,haley bonar,25.0
22179,blowout,21.0
22149,dinosaur jr.,51.0
22152,delroy edwards,32.0
22192,thunder tillman,3.0
22165,cheena,75.0
22163,nao,58.0
22143,steve aoki,72.0
22183,shy layers,7.0
22178,owen,34.0
22168,titus andronicus,30.0
22145,hieroglyphic being,15.0
22142,meshuggah,55.0
22184,metronome,33.0
22162,mary lattimore,43.0
22162,jeff zeigler,19.0
22107,red hot chili peppers,84.0
22159,nina simone,69.0
22118,various artists,7.0
22194,no joy,31.0
22133,psalm zero,1.0
22173,elza soares,51.0
22113,william s. burroughs,20.0
22190,stwo,45.0
22172,frankie reyes,31.0
22180,jeremih,75.0
22136,lil durk,81.0
22181,lori mckenna,44.0
22130,tristan perich,9.0
22177,lil yachty,79.0
22147,russian circles,45.0
22175,florian kupfer,8.0
22129,hammers of misfortune,12.0
22157,gucci mane,77.0
22128,gap dream,26.0
22160,shy glizzy,62.0
22098,big business,32.0
22167,snoop dogg,83.0
22171,blu,59.0
22171,nottz,27.0
21886,michael kiwanuka,69.0
22154,notekillers,1.0
22166,various artists,7.0
22043,de la soul,62.0
22161,21 savage,88.0
22161,metro boomin,88.0
22123,wymond miles,2.0
22144,the amazing,52.0
22176,jherek bischoff,20.0
22119,floating points,51.0
22121,z-ro,56.0
22126,various artists,7.0
22158,pauline oliveros,23.0
22156,jamila woods,49.0
22135,dreezy,51.0
22106,max romeo,51.0
22140,johnny foreigner,29.0
22120,ian william craig,17.0
22110,abra,94.0
22138,towkio,43.0
22127,wreck and reference,13.0
22109,badbadnotgood,64.0
22117,mstrkrft,34.0
22125,pylon,36.0
22155,wolfgang tillmans,18.0
22101,clams casino,71.0
22103,elysia crampton,13.0
22116,camp cope,34.0
22124,shackleton,25.0
22087,konx-om-pax,23.0
21924,fleetwood mac,83.0
22073,the julie ruin,30.0
22141,migos,76.0
22062,mark barrott,34.0
22108,various artists,7.0
22075,shura,46.0
22111,betty davis,38.0
22122,kel valhaal,0.0
22105,jackmaster,26.0
22094,schoolboy q,76.0
22090,darkstar,24.0
22064,trust punks,1.0
22102,tangents,7.0
22093,arca,65.0
22100,lindstrm,37.0
22095,martha,47.0
22114,john roberts,37.0
22057,maxwell,59.0
22097,kelsey lu,47.0
22088,eric copeland,15.0
22099,gone is gone,18.0
21895,vivien goldman,16.0
22085,risn murphy,30.0
22071,araabmuzik,41.0
22059,gggs,49.0
22104,roy wood$,60.0
22035,lauryn hill,74.0
22060,metronomy,63.0
22092,scharpling & wurster,4.0
22016,marisa anderson,34.0
22026,steven julien,23.0
22065,the avalanches,56.0
22091,nite-funk,11.0
22086,nils frahm,61.0
22086,woodkid,68.0
22015,gojira,65.0
22072,aphex twin,66.0
22074,inter arma,21.0
22089,the game,72.0
22027,hot hot heat,40.0
22080,blink-182,78.0
22083,magic!,68.0
21883,weaves,17.0
22076,egisto macchi,4.0
22067,bat for lashes,45.0
22084,mick harvey,37.0
22069,alice bag,12.0
22056,stephen steinbrink,19.0
22054,pulp,60.0
22079,desiigner,61.0
22081,nice as fuck,22.0
22063,look mexico,17.0
22082,sunpath,0.0
22077,future,92.0
22077,dj esco,48.0
22078,james ferraro,27.0
22066,puro instinct,9.0
22022,david toop,14.0
22052,blood orange,71.0
22070,river tiber,51.0
22029,lets eat grandma,37.0
22021,lungfish,31.0
22030,jim orourke,25.0
22030,fennesz,37.0
22013,deerhoof,39.0
21969,told slant,27.0
22001,amy klein,0.0
22055,bruce springsteen,77.0
22041,blut aus nord,30.0
22041,vangelist,61.0
22068,caveman,23.0
22042,bjarki,32.0
22039,suicide,85.0
21985,the avett brothers,60.0
22018,delorean,23.0
22058,yumi zouma,53.0
21968,jay arner,13.0
22053,neil young,69.0
22019,dj shadow,63.0
22014,grace jones,54.0
22038,john cage,37.0
22038,sun ra,42.0
22007,allen toussaint,44.0
22050,g.l.o.s.s.,26.0
21719,laura mvula,40.0
22012,odonis odonis,18.0
22032,saqqara mastabas,0.0
22049,disclosure,76.0
22048,wye oak,47.0
22017,sui zhen,20.0
22005,the gotobeds,9.0
21970,mitski,82.0
22036,bishop nehru,41.0
21971,brigid mae power,18.0
21979,rlyr,1.0
21994,swans,48.0
21988,yg,73.0
21984,todd terje,46.0
21984,the olsens,65.0
22000,ro james,44.0
21992,red hot chili peppers,84.0
22010,palmistry,37.0
22011,will butler,32.0
22034,vatican shadow,26.0
21951,weval,48.0
22037,george harrison,70.0
22024,case/lang/veirs,0.0
21884,yung,69.0
22046,kodak black,81.0
21982,nails,42.0
21973,neil young,69.0
21726,jake bugg,57.0
22033,the fall,44.0
21991,audion,41.0
22004,van morrison,73.0
22040,nick jonas,65.0
21974,nite jewel,32.0
22008,laraaji,41.0
22008,sun araw,33.0
22006,waxahatchee,57.0
21972,dan lissvik,21.0
22031,mozzy,62.0
21945,diarrhea planet,23.0
21995,band of horses,61.0
21965,the temper trap,69.0
21882,jackie lynn,11.0
22002,nate wooley,9.0
21990,air,64.0
21885,huerco s.,32.0
21967,plaid,37.0
21966,holger czukay,27.0
21889,sumac,26.0
21964,kate bush,71.0
21980,cornelius,41.0
21946,alexis taylor,28.0
21941,ladyhawke,44.0
21931,fear of men,22.0
21953,garbage,60.0
21987,speedy ortiz,34.0
21996,floorplan,35.0
21999,margaret glaspy,32.0
21998,vic mensa,56.0
21978,paul simon,70.0
21961,peter bjorn and john,62.0
21722,terry reid,36.0
21952,tegan and sara,56.0
21997,various artists,7.0
21872,mourn,27.0
21954,xenia rubinos,26.0
21986,the strokes,77.0
21962,the kills,50.0
21938,lone,59.0
21654,white zombie,57.0
21871,whitney,77.0
21828,big thief,70.0
21959,melvins,48.0
21977,moonface,19.0
21977,siinai,9.0
21981,payroll giovanni,48.0
21904,slum village,55.0
21873,steve gunn,39.0
21960,the wailers,60.0
21890,cough,26.0
21913,joey purp,47.0
21932,fifth harmony,70.0
21942,dm-funk,47.0
21937,seiho,26.0
21921,flume,71.0
21916,william tyler,39.0
21976,die antwoord,60.0
21915,jank,34.0
21944,mark kozelek,35.0
21723,holy fuck,58.0
21958,sepalcure,16.0
21975,angry angles,12.0
21957,kevin gates,73.0
21917,beth orton,42.0
21943,minor victories,15.0
21910,angel du$t,40.0
21956,daniel romano,34.0
21891,kristin kontrol,9.0
21718,pup,51.0
21922,olga bell,8.0
21786,rebolledo,25.0
21950,autechre,44.0
21821,robert glasper,58.0
21821,miles davis,64.0
21947,classixx,42.0
21934,africans with mainframes,0.0
21675,the hotelier,40.0
21940,the underachievers,47.0
21933,allen ginsberg,28.0
21949,debo band,2.0
21948,wolf parade,42.0
21955,islands,32.0
21536,various artists,7.0
21936,adult jazz,21.0
21892,ariana grande,92.0
21874,gold panda,39.0
21584,steve reich,45.0
21880,mock orange,21.0
21896,david bowie,77.0
21923,dawn richard,41.0
21929,so so glos,16.0
21914,terry allen,33.0
21939,bob dylan,78.0
21926,pantha du prince,32.0
21893,rhys chatham,5.0
21868,eagulls,22.0
21920,christian naujoks,2.0
21864,marissa nadler,34.0
21894,richard ashcroft,49.0
21935,adia victoria,32.0
21721,carla bley,34.0
21673,car seat headrest,62.0
21928,post malone,89.0
21898,head wound city,13.0
21875,tim heidecker,32.0
21771,various artists,7.0
21725,mutual benefit,31.0
21912,torn hawk,11.0
21865,oscar,84.0
21802,jessy lanza,35.0
21676,nothing,57.0
21887,a giant dog,27.0
21919,shit robot,24.0
21909,chance the rapper,75.0
21700,summer cannibals,22.0
21911,jameszoo,16.0
21869,pinkshinyultrablast,36.0
21918,miles davis,64.0
21677,modern baseball,65.0
21818,kvelertak,42.0
21784,arbor labor union,4.0
21862,hooded fang,27.0
21901,ryan adams,56.0
21858,skepta,76.0
21900,corinne bailey rae,65.0
21877,thomas cohen,58.0
21899,kaytranada,72.0
21785,mark pritchard,45.0
21724,twin peaks,44.0
21908,bacao rhythm & steel band,43.0
21879,death grips,58.0
21876,jean-michel jarre,55.0
21820,pita,39.0
21859,seratones,28.0
21907,radiohead,85.0
21888,luh,65.0
21678,gregory porter,59.0
21878,mary chapin carpenter,50.0
21906,james blake,69.0
21861,little scream,27.0
21863,homeboy sandman,37.0
21852,fog,52.0
21782,julianna barwick,45.0
21783,helado negro,47.0
21855,meyhem lauren,45.0
21720,chris cohen,33.0
21817,jack dejohnette,44.0
21817,ravi coltrane,25.0
21817,matthew garrison,6.0
21701,cluster,34.0
21854,various artists,7.0
21856,britta phillips,27.0
21905,mo troper,15.0
21849,white lung,25.0
21860,various artists,7.0
21645,vektor,31.0
21857,big black delta,41.0
21819,anohni,49.0
21794,pity sex,32.0
21810,various artists,7.0
21815,hurry,97.0
21687,aesop rock,55.0
21804,egyptian lover,37.0
21853,king gizzard & the lizard wizard,63.0
21851,operators,18.0
21848,katy b,58.0
21653,various artists,7.0
21813,holy ghost!,37.0
21903,yoni & geti,17.0
21816,lush,47.0
21836,drake,97.0
21835,various artists,7.0
21850,anna wise,59.0
