name, score
richard ashcroft,49
adia victoria,32
carla bley,34
car seat headrest,62
head wound city,13
tim heidecker,32
mutual benefit,31
torn hawk,11
oscar,84
nothing,57
a giant dog,27
shit robot,24
summer cannibals,22
jameszoo,16
pinkshinyultrablast,36
modern baseball,65
kvelertak,42
arbor labor union,4
hooded fang,27
ryan adams,56
skepta,76
corinne bailey rae,65
thomas cohen,58
kaytranada,72
mark pritchard,45
twin peaks,44
bacao rhythm & steel band,43
death grips,58
jean-michel jarre,55
pita,39
seratones,28
radiohead,85
luh,65
gregory porter,59
mary chapin carpenter,50
james blake,69
little scream,27
homeboy sandman,37
fog,52
julianna barwick,45
meyhem lauren,45
chris cohen,33
jack dejohnette,44
ravi coltrane,25
matthew garrison,6
cluster,34
britta phillips,27
mo troper,15
white lung,25
vektor,31
big black delta,41
anohni,49
pity sex,32
hurry,97
aesop rock,55
egyptian lover,37
king gizzard & the lizard wizard,63
operators,18
katy b,58
holy ghost!,37
yoni & geti,17
lush,47
drake,97
anna wise,59
alarm will sound,20
the revolution,27
the new power generation,44
wire,47
dej loaf,68
dlek,64
horse lords,17
ensemble dal niente,3
susanna,51
audio push,31
beyonc,87
a$ap ferg,71
cullen omori,20
antwon,25
andy stott,37
etta james,70
ulver,42
kyle craft,22
rogue wave,44
john carpenter,48
bill evans,62
dj quik,54
problem,13
plants and animals,28
jay reatard,34
konono n1,22
batida,70
primitive weapons,2
sorority noise,49
arthur russell,46
cellars,5
lawrence,56
j dilla,57
carlos nio & friends,30
sturgill simpson,65
dave harrington group,10
toyomu,0
deakin,19
sam beam & jesca hoop,27
bleached,36
mr. lif,38
tunji ige,34
kevin morby,50
colin stetson,45
royce 59,56
cate le bon,44
tyler friedman,0
samuel rohrer,13
xiu xiu,45
eskimeaux,0
ben watt,28
niki and the dove,59
kweku collins,32
greys,49
youth code,27
deftones,81
into it. over it.,31
gallant,50
dinner,51
m83,72
dj rashad,33
frightened rabbit,48
k. michelle,49
bombino,38
parquet courts,47
mogwai,54
terrace martin,58
tacocat,31
"trd, grs och stenar",2
tim hecker,46
woods,41
twenty88,42
flying saucer attack,19
grimes,69
ash koosha,8
andrew bird,56
teen suicide,52
henry threadgill,12
ensemble double-up,0
dvsn,55
yeasayer,41
the last shadow puppets,59
autolux,33
bob mould,41
the field,33
leon vynehall,44
pet shop boys,68
tombs,11
com truise,57
frankie cosmos,55
eric bachmann,14
black milk & nat turner,41
nisennenmondai,8
glenn jones,44
azealia banks,64
charles bradley,60
black mountain,36
mike and the melvins,48
the monochrome set,27
weezer,74
laura gibson,36
elliphant,52
zayn,78
moderat,58
ramriddlz,39
japanese breakfast,61
brad fiedel,42
explosions in the sky,51
rjd2,47
domo genesis,57
anthony braxton,19
public memory,39
larry levan,27
cobalt,15
studio ost,2
babyfather,44
masami akita & eiko ishibashi,53
kamaiyah,51
the thermals,37
father,70
margo price,50
amnesia scanner,29
vijay iyer,31
charli xcx,85
baauer,54
boosie badazz,65
starchild & the new romantic,17
ilovemakonnen,57
the joy formidable,38
lucius,55
the body,35
full of hell,40
kiran leonard,11
gwen stefani,75
boris,63
rolling blackouts coastal fever,41
open mike eagle & paul white,49
bonnie prince billy,44
bitchin bajas,24
lust for youth,38
the goon sax,20
bent shapes,3
gadget,17
primal scream,53
hlos,26
chris forsyth and the solar motel band,49
flatbush zombies,55
the feelies,35
lifetones,9
ceramic tl,0
underworld,59
zelooperz,47
horse jumper of love,44
zach cooper,1
sheer mag,33
clark,42
dj katapila,3
fake boyfriend,0
immix ensemble & vessel,49
the range,18
lpsley,52
m. ward,48
big ups,19
methyl ethel,40
iggy pop,61
fatima al qadiri,25
tiga,49
jealousy,6
carter tanton,8
glitterbust,0
lil wayne,88
the big pink,29
wussy,24
tokimonsta,53
kendrick lamar,97
polia,47
mothers,43
kane strang,27
anna meredith,29
el guincho,58
thao & the get down stay down,34
jennifer o'connor,18
esperanza spalding,48
soulwax,50
sarah neufeld,26
mikael seifu,3
yndi halda,19
loretta lynn,56
violent femmes,58
heron oblivion,7
anenon,24
oranssi pazuzu,34
thug entrancer,0
la sera,29
quelle chris,41
kedr livanskiy,38
lnzndrf,11
mr. fingers,38
hxlt,8
quilt,22
especia,14
hop along,39
rome fortune,47
yuck,38
na,73
macklemore,78
ryan lewis,68
lucy dacus,69
guerilla toss,29
glenn kotche,8
so percussion,27
the 1975,78
bj the chicago kid,60
john cale,47
prins thomas,35
waco brothers,14
amthst,0
crater,39
santigold,66
yo gotti,65
the snails,19
the dirty nil,38
james holden,40
luke abbott,30
cavern of anti-matter,23
teen,51
death index,1
venetian snares,38
jesu,74
sun kil moon,49
seth bogart,7
ra ra riot,44
anna homler,15
steve moshier,6
rangda,2
wild nothing,47
matmos,22
mavis staples,50
jack garratt,44
michael nau,53
moodymann,45
mount moriah,17
lushlife,20
brood ma,0
benny hester,20
animal collective,50
africaine 808,10
so pitted,5
rokia traor,41
why khaliq,6
kanye west,92
the skiffle players,6
cfcf,35
daniel wohl,7
eight bells,2
wiz khalifa,83
sioux falls,15
two inch astronaut,12
moomin,36
abi reimold,1
knxwledge,58
lissie,53
elliott smith,66
pinegrove,66
sicko mobb,12
aluk todolo,12
school of seven bells,32
nonkeen,24
gogo penguin,47
foxes,62
vic spencer,25
chris crack,36
milk n cookies,24
jeb loy nichols,34
essaie pas,24
eric prydz,65
cross record,19
nap eyes,27
alex smoke,15
djds,35
black moth super rainbow,43
freakwater,15
charlie puth,80
king,79
chester watson,38
diiv,51
majid jordan,68
field music,26
black tusk,26
a pleasure,0
rihanna,92
lucinda williams,51
